Topic,Count,Name,Representation,Representative_Docs
-1,462058,-1_earnings_sales_increased_increase,"['earnings', 'sales', 'increased', 'increase', 'revenues', 'revenue', 'markets', 'financial', 'results', 'market']","['Occupancy costs in the third quarter increased 30 basis points versus the prior year to 7.4% of sales, based on the increased number of openings, 17 this year versus ten last year in the quarter, and the impact of pre-opening rent associated with new openings.', 'For Advanced Airlaid Materials, fourth quarter operating profit increased 9% from the prior year on the heels of strong shipment of wipes and hygiene products.', ""For information on factors that could cause a difference in our results, please refer to our Form 10-Q for the fiscal quarter ended August 1, 2010, to Magma's subsequent and future filings with the Securities and Exchange Commission, and to cautionary statements in today's earnings press release regarding forward-looking statements.""]"
0,35980,0_strategic_success_future_marketing,"['strategic', 'success', 'future', 'marketing', 'innovation', 'businesses', 'customer', 'capabilities', 'business', 'strategy']","['We look forward to taking advantage of this interoperability platform to provide even more robust capabilities within and outside of our client base to support data strategies that can add value for our clients and drive revenue growth within our organization.', 'We look forward to a strong FY17 and maintain a continued focus on delivering long-term growth to shareholders and a best-in-class connectivity experience for our customers.', 'Entering 2019, we remain focused on becoming the partner of choice for our customers by providing market-leading quality products and customer service with a market-competitive business model.']"
1,16344,1_phase_stage_research_second,"['phase', 'stage', 'research', 'second', 'results', 'second half', 'plan', 'non', 'demonstrated', 'ongoing']","['Report interim data from the Phase 2 study in non-small cell lung cancer.', 'Now, let me tell you briefly about the status of the ATTENTION trial, which is the other Phase 3 trial, which is part of the non-small cell Phase 3 program for tivantinib.', 'For sapacitabine, continue to follow up, enroll patients in SEAMLESS until the prespecified number of events is observed, which is expected to occur between the second half of 2015 and the first half of 2016; submit a Pediatric Investigation Plan to the European Medicines Agency; continued follow-up of patients in an additional part of the ongoing Phase 2 MDS study evaluating better dosing regimens; make a decision on Phase 2b RCT in MDS, following review of all relevant clinical data with mature follow-up; report updated data for the Phase 1 study of sapacitabine in combination with seliciclib in solid tumor patients, in particular those carrying germline BRCA mutations.']"
2,10017,2_margin_margins_revenue_profit,"['margin', 'margins', 'revenue', 'profit', 'percentage', 'leverage', 'sales', 'decreased', 'decrease', 'percent']","['Segment gross margin dollars increased 12% and 13% in constant currency, and gross margin percentage increased 4 points due to higher-margin sales mix.', 'During the third quarter, operating gross margin declined 130 basis points.', 'The gross margin on licenses was 81.2%.']"
3,9270,3_earnings_income_share_tax,"['earnings', 'income', 'share', 'tax', 'quarter fiscal', 'loss', 'quarter year', 'net', 'increased', '000']","['The Company reported a net loss of $12.2 million or $0.76 per basic share and $0.76 per diluted share for fiscal 2009, compared to net income of $5.9 million or $0.28 per basic share and $0.18 per diluted share for fiscal 2008.', 'We had a $0.07 per share provision for a client settlement.', 'For the year, our non-GAAP net income was $7.2 million or $0.08 per basic share and $0.07 per diluted share as compared to a loss of $11.1 million or a loss of $0.13 per share in 2016.']"
4,6966,4_expenses_expense_costs_revenues,"['expenses', 'expense', 'costs', 'revenues', 'cost', 'revenue', 'spending', 'total', 'sales', 'fiscal']","['Based on our current run rate of expenses, we now expect total cash operating expenses to be between $93 million and $103 million, excluding expected non-cash, stock-based compensation expense of approximately $17 million for a total operating expenses of approximately $110 million to $120 million.', 'The increase in SG&amp;A expenses for the quarter is primarily attributable to the increase in bonus expenses, incremental SG&amp;A from acquisitions, and an overall general increase in SG&amp;A and R&amp;D expense investments.', 'Many of our categories of operating expenses are decreasing.']"
5,6932,5_cash flow_cash_million quarter_balance sheet,"['cash flow', 'cash', 'million quarter', 'balance sheet', '15 million', 'debt', 'payments', 'investments', 'capital', 'approximately million']","['In Quarter 1 we were cash flow positive on both an operating and free cash flow basis and generated $4 million in cash from operations, despite paying annual bonuses of $4 million during the quarter.', 'Free cash flow or cash from from operations less CAPEX and dividend totaled $167m during the quarter.', 'If you exclude cash interest and taxes, cash flow from operations was 122.8 million.']"
6,5292,6_revenue growth_revenues_revenue_million quarter,"['revenue growth', 'revenues', 'revenue', 'million quarter', '10 million', 'total', 'quarter year', 'year quarter', 'quarter fiscal', 'fiscal year']","['Total revenues for the 2nd quarter were approximately $7 million, comprised primarily of $6 million of collaboration revenue and $1 million of grant revenue.', ""MyCorp revenue was $4.4 million in FY '06 and $7.9 million in FY '07."", 'Revenue for the full year was $234.1 million.']"
7,4430,7_leadership_corporate_investor_management,"['leadership', 'corporate', 'investor', 'management', 'companies', 'managing', 'company', 'general', 'members', 'financial']","['Presenting on behalf of Valley today, our President and CEO, Ira Robbins; Chief Financial Officer, Mike Hagedorn; and Chief Banking Officer, Tom Iadanza.', 'On the call with me today are George Kirby, President and Chief Executive Officer; and Matthew Shafer, Chief Financial Officer and Treasurer.', 'With me today are Bryan Shinn, our President and CEO, and Bill White, our Chief Financial Officer.']"
8,4394,8_financial results_quarter results_financial_review,"['financial results', 'quarter results', 'financial', 'review', 'quarter fiscal', 'fiscal', 'results', 'quarterly', 'fourth quarter', 'summary']","[""Now I'll turn it over to Patricia who will provide you with details on our financial results."", ""I'll now turn the call over to Matt, who will review our financial results for the quarter."", ""And now I'll turn the call over to Katie so she can review our financial results in more detail.""]"
